ID,Name,Supertype,Type,Domains,Rarity,Energy Cost,Power Cost,Might,Rules Text,Effect Text,Champion Tag,Other Tags,Flavor Text,Has Errata
SFD-001,Against the Odds,,Spell,Fury,Common,2,,,"[Reaction]
Give a friendly unit at a battlefield +2[M] this turn for each enemy unit there.",,,,"""We are what we overcome.""
—Pantheon",FALSE
SFD-002,Armed Assailant,,Unit,Fury,Common,6,1,6,"[Accelerate]
[Weaponmaster]",,,Noxus,,FALSE
SFD-003,Blood Rush,,Spell,Fury,Common,1,,,"[Action]
[Repeat] [1]
Give a unit [Assault 2] this turn.",,,,,TRUE
SFD-004,Bushwhack,,Spell,Fury,Common,2,1,,"[Hidden]
Friendly units enter ready this turn. Play a Gold gear token exhausted.",,,,Always check the brush.,FALSE
SFD-005,Detonate,,Spell,Fury,Common,1,1,,Kill a gear. Its controller draws 2.,,,,Nobody wants to be left holding the exploding end of the stick.,FALSE
SFD-006,Eager Drakehound,,Unit,Fury,Common,3,1,3,I enter ready.,,,"Noxus, Dog, Dragon","There are two kinds of drakehound trainer: strict, and dead.",FALSE
SFD-007,Gem Jammer,,Unit,Fury,Common,2,,2,"When you play me, give a unit [Ganking] this turn.",,,"Bandle City, Mech","""You have GOT to see this.""",FALSE
SFD-008,Sentinel Adept,,Unit,Fury,Common,3,,3,[Weaponmaster],,,"Shadow Isles, Sentinel","""My turn.""",FALSE
SFD-009,Serrated Dirk,,Gear,Fury,Common,1,,,[Equip] [R],[Assault 2] [M]+0,,Equipment,,FALSE
SFD-010,Void Drone,,Unit,Fury,Common,3,,3,I cost [2] less to play from anywhere other than your hand.,,,The Void,"Rek'Sai's children appear without warning, ambushing their prey beneath the Shuriman sands.",FALSE
SFD-011,Angle Shot,,Spell,Fury,Uncommon,2,,,"[Reaction]
Choose a unit and an Equipment with the same controller. Attach that Equipment to that unit or detach that Equipment from that unit. Draw 1.",,,,"""Admit it, you're hooked.""",FALSE
SFD-012,Battering Ram,,Unit,Fury,Uncommon,5,,5,"I cost [1] less for each card you've played this turn, to a minimum of [1].",,,"Noxus, Trifarian","They call it ""the Noxian hello.""",FALSE
SFD-013,Blast Corps Cadet,,Unit,Fury,Uncommon,2,,2,"You may pay [1][R] as an addtional cost to play me.
When you play me, if you paid the additional cost, deal 2 to a unit at a battlefield.",,,Piltover,"The bigger the bangs, the less you have to aim.",FALSE
SFD-014,Minotaur Reckoner,,Unit,Fury,Uncommon,5,,5,Units can't move to base.,,,Noxus,"He is blessed with immense patience, a gift he feels compelled to share.",FALSE
SFD-015,Perched Grimwyrm,,Unit,Fury,Uncommon,4,,5,Play me only to a battlefield you conquered this turn.,,,"Shadow Isles, Dragon","When you see the Grimwyrm's shadow, it's already too late.",FALSE
SFD-016,Recurve Bow,,Gear,Fury,Uncommon,2,,,[Equip] [R],"When I attack or defend, deal 2 to an enemy unit here. [M]+0",,Equipment,,FALSE
SFD-017,Sudden Storm,,Spell,Fury,Uncommon,3,,,"[Hidden]
[Action]
Deal 2 to a unit at a battlefield. If it's attacking, deal 4 to it instead.",,,,Haste lays waste.,FALSE
SFD-018,Void Hatchling,,Unit,Fury,Uncommon,2,,2,"If you would reveal cards from a deck, look at the top card first. You may recycle it. Then reveal those cards.",,,The Void,"From the moment of hatching, xer'sai serve their queen.",FALSE
SFD-019,Assembly Rig,,Gear,Fury,Uncommon,4,,,"[1][R], Recycle a unit from your trash, [E]: Play a 3[M] Mech unit token to your base.",,,,"""Can't believe someone would throw this out!""",FALSE
SFD-020,"Draven, Vanquisher",Champion,Unit,Fury,Rare,4,,4,"When I win a combat, play a Gold gear token exhausted.
When I attack or defend, you may pay [R] to give me +2[M] this turn.",,Draven,Noxus,"""Man, I'm good.""",TRUE
SFD-021,Ferrous Forerunner,,Unit,Fury,Rare,6,1,6,[Deathknell] — Play two 3[M] Mech unit tokens to your base.,,,"Bandle City, Yordle, Mech","""You are a wreck waiting to happen. I just see parts that aren't spare yet.""",FALSE
SFD-022,Long Sword,,Gear,Fury,Rare,2,1,,"[Quick-Draw]
[Equip] [R]",[M]+2,,Equipment,Efforts to create the Longer Sword quickly ran into diminishing returns.,FALSE
SFD-023,Piercing Light,,Spell,Fury,Rare,2,1,,"[Repeat] [2][R]
Deal 2 to a unit at a battefield, then deal 2 to up to one other unit.",,,,"""I got two good reasons for you to turn back.""
—Lucian",FALSE
SFD-024,"Rell, Magnetic",Champion,Unit,Fury,Rare,4,,4,"[Tank]
When I attack, you may play an Equipment with Energy cost no more than [2], ignoring its cost. If you do, then do this: Attach it to me.",,Rell,Noxus,"""Bones shatter and people lie, but I can always count on iron.""",TRUE
SFD-025,"Rengar, Pouncing",Champion,Unit,Fury,Rare,3,1,3,"[Reaction]
[Assault 2]
I can be played to a battlefield you're attacking.",,Rengar,"Ixtal, Cat","""Tonight, we hunt!""",FALSE
SFD-026,"Rumble, Hotheaded",Champion,Unit,Fury,Rare,4,,4,"Your Mechs each have [Assault].
When I conquer, you may recycle another friendly unit to play a Mech from your trash. Reduce its Energy cost by the Might of the unit you recycled.",,Rumble,"Bandle City, Yordle, Mech",,FALSE
SFD-027,Dunebreaker,,Unit,Fury,Epic,7,1,7,"If you have two or fewer cards in your hand, I enter ready.
When I hold, draw 2.",,,The Void,Dunes don't break like branches. They break like waves.,FALSE
SFD-028,"Lucian, Gunslinger",Champion,Unit,Fury,Epic,3,,2,"[Assault]
When I attack, deal damage equal to my [Assault] to an enemy unit here.",,Lucian,"Demacia, Sentinel","""Everybody dies. Some just need a little help.""",FALSE
SFD-029,"Rek'Sai, Breacher",Champion,Unit,Fury,Epic,3,,3,"[Accelerate]
[Assault]
Friendly units played from anywhere other than a player's hand have [Accelerate].",,Rek'Sai,The Void,,FALSE
SFD-030,Skyfall of Areion,,Gear,Fury,Epic,3,,,[Equip] [1][R],"My hold effects are also conquer effects, and vice versa. [M]+2",,Equipment,,FALSE
SFD-031,Desert's Call,,Spell,Calm,Common,2,,,"[Repeat] [2]
Play a 2[M] Sand Soldier unit token.",,,,The Great Sai desert hides as many spears as it does secrets.,FALSE
SFD-032,Disarming Rake,,Unit,Calm,Common,3,1,2,"When you play me, you may kill a gear.",,,Demacia,"""I like to break things: swords, arms, hearts...""",FALSE
SFD-033,Doran's Shield,,Gear,Calm,Common,1,,,[Equip] [G],[Tank] [M]+1,,Equipment,,FALSE
SFD-034,Feral Strength,,Spell,Calm,Common,2,,,"[Reaction]
[Repeat] [2]
Give a unit +2[M] this turn.",,,,,FALSE
SFD-035,Guardian of the Passage,,Unit,Calm,Common,6,,6,"When I hold, you may return a unit or gear from your trash to your hand.",,,"Shadow Isles, Spirit","In the Shadow Isles, the veil between life and death is thin indeed.",FALSE
SFD-036,Lonely Poro,,Unit,Calm,Common,2,,2,"[Deathknell] — If I died alone, draw 1.",,,"Freljord, Poro","Far from fluft and all alone
None to mourn but ice and stone
—Ode to a Lonely Poro",FALSE
SFD-037,Navori Scout,,Unit,Calm,Common,4,,4,[Deflect],,,"Ionia, Yordle",The Navori Brotherhood has neither a height requirement nor a retirement age.,FALSE
SFD-038,Ribbon Dancer,,Unit,Calm,Common,3,,3,"When I move to a battlefield, give another friendly unit +1[M] this turn.",,,Ionia,A flutter of silk is all the warning her enemies get.,FALSE
SFD-039,Royal Entourage,,Unit,Calm,Common,3,1,4,"When you play me, ready or exhaust a legend.",,,Shurima,"After the seat of the ancient Shuriman Empire rose from the sands and its immortal emperor stpped out of myth to lead it, those who first embraced his rule were richly rewarded.",FALSE
SFD-040,Thwonk!,,Spell,Calm,Common,2,,,"[Action]
[Repeat] [2]
Stun an attacking unit.",,,,,FALSE
SFD-041,Apprentice Smith,,Unit,Calm,Common,2,,2,"When I move, reveal the top card of your Main Deck. If it's a gear, draw it. Otherwise, recycle it.",,,Freljord,"""My mentor says every failed project is a lesson. Me, I use 'em as paperweights.""",FALSE
SFD-042,Brutalizer,,Gear,Calm,Uncommon,2,,,[Equip] [G],"If this was attached to me this turn, I have an additional +2[M]. [M]+1",,Equipment,,FALSE
SFD-043,Emperor's Divide,,Spell,Calm,Uncommon,2,,,"[Hidden]
[Action]
Move any number of friendly units at a battlefield to their base.",,,,The sands of battle shift at Azir's command.,FALSE
SFD-044,Legion Quartermaster,,Unit,Calm,Uncommon,3,,4,"As an additional cost to play me, return a friendly gear to its owner's hand.",,,"Noxus, Trifarian","""An ancient runeblade! Very rare. Take it to Tent 3 for processing.""",FALSE
SFD-045,Not So Fast,,Spell,Calm,Uncommon,2,1,,"[Reaction]
Counter an enemy spell or ability that chooses a friendly unit or gear.",,,,,FALSE
SFD-046,Poro Snax,,Gear,Calm,Uncommon,1,1,,"When you play this, draw 1.
[1][G], [E], Kill this: Draw 1.",,,,"""Eat, eat and grow strong!""
—Braum",FALSE
SFD-047,Simian Ancestor,,Unit,Calm,Uncommon,5,1,5,"When you buff me, ready me.",,,Ionia,"""I'm faster than I look. Older too, if you can believe it.""",FALSE
SFD-048,Stellacorn Herder,,Unit,Calm,Uncommon,4,,3,"When I move, draw 1.",,,Mount Targon,"""Finding lost stellacorns is easy! It's catching them that's the hard part.""",FALSE
SFD-049,"Aphelios, Exalted",Champion,Unit,Calm,Rare,4,1,4,"When you attach an Equipment to me, choose one that hasn't been chosen this turn —
• Ready 2 runes.
• Channel 1 rune exhausted.
• Buff a friendly unit.",,Aphelios,Mount Targon,,FALSE
SFD-050,"Azir, Ascendant",Champion,Unit,Calm,Rare,6,1,6,"[G]: [Action] — Choose a unit you control. Move me to its location and move it to my original location. If it's is equipped, you may attach one of its Equipment to me. Use only once per turn.",,Azir,"Shurima, Bird","""Challenge Shurima, challenge fate.""",FALSE
SFD-051,Guardian Angel,,Gear,Calm,Rare,2,,,[Equip] [G],"If I would die, kill Guardian Angel instead. Heal me, exhaust me, and recall me. [M]+1",,Equipment,Claws for concern.,FALSE
SFD-052,Heart of Dark Ice,,Gear,Calm,Rare,3,1,,[E]: Give a unit +3[M] this turn.,,,,"""All will kneel ... in time.""
—Lissandra",FALSE
SFD-053,"Janna, Savior",Champion,Unit,Calm,Rare,3,1,3,"[Reaction]
When you play me, heal your units here, then move up to one enemy unit from here to its base.",,Janna,Zaun,"""Gale winds unleashed!""",TRUE
SFD-054,"Jax, Unmatched",Champion,Unit,Calm,Rare,5,1,5,"[Deflect]
Your Equipment everywhere have [Quick-Draw].",,Jax,Icathia,"""Fighting words! My favorite kind.""",TRUE
SFD-055,Needlessly Large Yordle,,Unit,Calm,Rare,10,3,5,"[Shield 5]
[Tank]
I cost [2][G] less for each point you scored from holding this turn.",,,"Bandle City, Yordle",How did a yordle get so big? You're welcome to ask him.,FALSE
SFD-056,Sterak's Gage,,Gear,Calm,Rare,3,2,,"[Quick-Draw]
[Equip] [G]",[M]+3,,Equipment,Claws for concern.,FALSE
SFD-057,"Irelia, Fervent",Champion,Unit,Calm,Epic,5,,4,"[Deflect]
When you choose or ready me, give me +1[M] this turn.",,Irelia,Ionia,"""Do we want to be safe, or free? The choice is ours.""",FALSE
SFD-058,"Ornn, Blacksmith",Champion,Unit,Calm,Epic,5,1,5,"When you play me or when I hold, look at the top 4 cards of your Main Deck. You may reveal a gear from among them and draw it. Then recycle the rest.",,Ornn,Freljord,"""Gods do not need followers. Followers need gods.""",FALSE
SFD-059,Svellsongur,,Gear,Calm,Epic,3,1,,[Equip] [1][G],"As this is attached to a unit, copy that unit's text to this Equipment's effect text for as long as this is attached to it. [M]+0",,Equipment,"""Only the greatest Freljord heroes have weapons made of True Ice!"" —Nunu",FALSE
SFD-060,Tianna Crownguard,,Unit,Calm,Epic,7,2,4,"[Deflect]
While I'm at a battlefield, opponents can't gain points.",,,"Demacia, Elite","""I will stand for my country, my family, and nothing else.""",TRUE
SFD-061,Aspiring Engineer,,Unit,Mind,Common,3,1,3,"When you play me, return a gear from your trash to your hand.",,,Piltover,"""Before you know it, I'll be running this place.""",FALSE
SFD-062,Bubble Bot,,Unit,Mind,Common,3,,3,"When you play me, ready another friendly Mech.",,,"Bandle City, Yordle, Mech","The first Bubble Bot started as a practical joke in the scrapyard, but the Mark II soon replaced the morning wake-up bell.",FALSE
SFD-063,Chemtech Cask,,Gear,Mind,Common,1,,,"When you play a spell on an opponent's turn, you may exhaust me to play a Gold gear token exhausted.",,,,"""Piltover coos over perfumes while Zaun struggles to breathe.""
—Renata Glasc",FALSE
SFD-064,Cloth Armor,,Gear,Mind,Common,1,,,"[Quick-Draw]
[Equip] [B]",[Shield 2] [M]+0,,Equipment,,FALSE
SFD-065,Forecaster,,Unit,Mind,Common,2,,2,Your Mechs have [Vision].,,,"Bandle City, Yordle, Mech",A good mech pilot has quick reflexes. A great one doesn't need them.,FALSE
SFD-066,Frigid Touch,,Spell,Mind,Common,2,,,"[Reaction]
[Repeat] [2]
Give a unit -2[M] this turn.",,,,"""Freeze.""",FALSE
SFD-067,Frostcoat Cub,,Unit,Mind,Common,3,,3,"You may pay [B] as an additional cost to play me.
When you play me, if you paid the additional cost, give a unit -2[M] this turn.",,,"Freljord, Dog","In the Freljord, cuteness is just another survival tactic.",FALSE
SFD-068,Gearhead,,Unit,Mind,Common,5,,3,"[Accelerate]
Each Equipment attached to me gives double its base Might bonus.",,,Zaun,"""Some people dream about the future. I'm living it.""",FALSE
SFD-069,Plundering Poro,,Unit,Mind,Common,2,,2,"When I conquer, play a Gold gear token exhausted.",,,"Bilgewater, Poro, Pirate",Piracy is the universal language.,FALSE
SFD-070,Wages of Pain,,Spell,Mind,Common,3,,,"[Hidden]
[Action]
Deal 3 to a unit at a battlefield. Play a Gold gear token exhausted.",,,,Smash AND grab.,FALSE
SFD-071,Breakneck Mech,,Unit,Mind,Uncommon,8,2,,"Your Mechs have [Deflect] and [Ganking].
I enter ready if you control another Mech.",,,"Bandle City, Yordle, Mech",,FALSE
SFD-072,Dropboarder,,Unit,Mind,Uncommon,4,,4,"When you play me, if you control two or more gear, ready me.",,,Zaun,"Piltover prides itself on progress, but the Firelights prove that Zaun is no less inventive.",FALSE
